project,website,public_contact_channel,category,what_they_sell,likely_revenue_events,likely_cost_events,why_ailabra_fits,suggested_first_integration,personalized_opening,priority,status,notes
402.ad,https://402.ad,https://402.ad/contact,x402 marketplace,"Paid planning and directory submission via x402","planning and submission settlements","search infrastructure, hosting, verification, chain fees","Already has paid x402 operations with measurable unit economics","Map plan revenue and search/compute costs by operation","Your catalog makes discovery free and charges agents for planning and submission; could you currently see contribution after search, verification, infrastructure, and settlement costs?",A,not_contacted,"Active public pricing checked 2026-07-29"
AgentUtility,https://agentutility.ai,https://agentutility.ai/,x402 API seller,"Paid utility endpoints for autonomous agents","per-endpoint x402 settlements","data providers, compute, hosting, gas","Endpoint-level revenue and costs can map directly to experiments","Track one product cluster for seven days","Your x402-native product clusters expose paid endpoints without accounts; Ailabra could show which cluster remains profitable after provider and infrastructure costs.",A,not_contacted,"Public site active 2026-07-29"
Agentic.Market,https://agentic.market,https://agentic.market,x402 marketplace,"Discovery and access to paid agent services","marketplace or service settlements","indexing, search, infrastructure, acquisition","Marketplace events can measure seller/buyer economics and discovery contribution","Pilot with one indexed seller and acquisition source","You already make x402 services searchable; the missing adjacent signal is whether an indexed seller earns positive contribution after model, hosting, and acquisition costs.",A,not_contacted,"Use public site contact/community path"
Pay.sh,https://pay.sh,https://pay.sh,x402 API marketplace,"Pay-per-use APIs for agents","API settlement revenue","upstream API, inference, infrastructure, gas","Receipts normalize naturally into revenue/cost events","Map one seller endpoint and upstream costs","Pay.sh gives agents pay-per-use APIs; Ailabra could turn the same receipts into endpoint profit rather than settlement volume alone.",A,not_contacted,"Listed in official x402 ecosystem"
Ampersend,https://ampersend.ai,https://github.com/graphprotocol/ampersend,agent payment infrastructure,"Agent payment policies and pay-per-use service access","service or platform fees","wallet infrastructure, routing, chain fees, operations","Spend policies plus profit feedback can close the agent economics loop","Export seven days of buyer and seller receipts into one venture","Ampersend helps agents control payments; Ailabra could add the complementary question of whether those paid capabilities produced positive experiment contribution.",A,not_contacted,"Public GitHub is preferred contact"
Venice,https://venice.ai,https://venice.ai/contact,paid AI inference,"Private model and image inference","inference request revenue or x402 settlements","GPU inference, model serving, bandwidth","Inference unit economics are directly attributable by model and customer","Map one paid model SKU by request and compute category","Venice monetizes private inference; could you compare paid request revenue with model-specific serving and acquisition costs without mixing owner funding into revenue?",A,not_contacted,"Official x402 ecosystem participant"
Nansen,https://www.nansen.ai,https://www.nansen.ai/contact,paid blockchain data,"Onchain intelligence and wallet analytics","paid API/x402 data calls","indexing, data pipelines, infrastructure, gas","High data costs make contribution visibility valuable","Attribute one paid analytics endpoint and data pipeline costs","Nansen's x402 analytics calls create clean revenue events, while indexing and data infrastructure create equally measurable costs—an ideal endpoint contribution pilot.",A,not_contacted,"Official x402 ecosystem participant"
Alchemy,https://www.alchemy.com,https://www.alchemy.com/contact-sales,blockchain API,"RPC and web3 developer APIs","metered or x402 API revenue","node infrastructure, data, bandwidth","Per-call revenue and infrastructure cost can be compared by product","Pilot one monetized agent-facing API","Alchemy's x402-enabled developer APIs can show settlement revenue; Ailabra would test whether one agent-facing method clears its node and data costs.",A,not_contacted,"Official x402 ecosystem participant"
x402scan,https://x402scan.com,https://github.com/Merit-Systems/x402scan,x402 analytics,"x402 ecosystem exploration and analytics","premium analytics or partner revenue","indexing, RPC, storage, hosting","Understands payment data and can validate event normalization","Import indexed receipts into a synthetic/private profit workspace","x402scan already explains settlement activity; a design test could show the distinction between visible payment volume and an operator's actual net contribution.",A,not_contacted,"Public GitHub contact"
MoltPe,https://moltpe.com,https://moltpe.com,x402 MCP infrastructure,"Hosted agent payments and MCP access","service fees and paid tool calls","wallet infrastructure, MCP hosting, chain fees","Payment audit trails can become deterministic cost events","Track one paid MCP workflow end to end","MoltPe's MCP flow already enforces agent spending policies; Ailabra could evaluate whether the purchased tools create profitable downstream work.",A,not_contacted,"Active x402/MCP tutorial published May 2026"
